Number,Name,Type1,Type2,Total,HP,Attack,Defense,SpecialAtk,SpecialDef,Speed,Generation
37,六尾,Fire,,299,38,41,40,50,65,65,1
38,九尾,Fire,,505,73,76,75,81,100,100,1
39,胖丁,Normal,Fairy,270,115,45,20,45,25,20,1
40,胖可丁,Normal,Fairy,435,140,70,45,85,50,45,1
41,超音蝠,Poison,Flying,245,40,45,35,30,40,55,1
42,大嘴蝠,Poison,Flying,455,75,80,70,65,75,90,1
43,走路草,Grass,Poison,320,45,50,55,75,65,30,1
44,臭臭花,Grass,Poison,395,60,65,70,85,75,40,1
45,霸王花,Grass,Poison,490,75,80,85,110,90,50,1
46,派拉斯,Bug,Grass,285,35,70,55,45,55,25,1
47,派拉斯特,Bug,Grass,405,60,95,80,60,80,30,1
48,毛球,Bug,Poison,305,60,55,50,40,55,45,1
49,摩魯蛾,Bug,Poison,450,70,65,60,90,75,90,1
50,地鼠,Ground,,265,10,55,25,35,45,95,1
51,三地鼠,Ground,,405,35,80,50,50,70,120,1
52,喵喵,Normal,,290,40,45,35,40,40,90,1
53,貓老大,Normal,,440,65,70,60,65,65,115,1
54,可達鴨,Water,,320,50,52,48,65,50,55,1
55,哥達鴨,Water,,500,80,82,78,95,80,85,1
56,猴怪,Fighting,,305,40,80,,35,45,70,1
57,火爆猴,Fighting,,455,65,105,60,60,70,95,1
58,卡蒂狗,Fire,,350,55,70,45,70,50,60,1
59,風速狗,Fire,,555,90,110,80,100,80,95,1
60,蚊香蝌蚪,Water,,300,40,50,40,40,40,90,1
61,蚊香君,Water,,385,65,65,65,50,50,90,1
62,蚊香泳士,Water,Fighting,510,90,95,95,70,90,70,1
63,凱西,Psychic,,310,25,20,15,105,55,90,1
64,勇基拉,Psychic,,400,40,35,30,120,70,105,1
65,胡地Mega,Psychic,,590,55,50,65,175,95,150,1
65,胡地,Psychic,,500,55,50,45,135,95,120,1
66,腕力,Fighting,,305,70,80,,35,35,35,1
67,豪力,Fighting,,405,80,100,70,50,60,45,1
68,怪力,Fighting,,505,90,130,80,65,85,55,1
69,喇叭芽,Grass,Poison,300,50,75,35,70,30,40,1
70,口呆花,Grass,Poison,390,65,90,50,85,45,55,1
71,大食花,Grass,Poison,490,80,105,65,100,70,70,1
72,瑪瑙水母,Water,Poison,335,40,40,35,50,100,70,1
73,毒刺水母,Water,Poison,515,80,70,65,80,120,100,1
74,小拳石,Rock,Ground,300,40,80,100,30,30,20,1
75,隆隆石,Rock,Ground,390,55,95,115,45,45,35,1
76,隆隆岩,Rock,Ground,495,80,120,130,55,65,45,1
77,小火馬,Fire,,410,50,85,55,65,65,90,1
78,烈焰馬,Fire,,500,65,100,70,80,80,105,1
79,呆呆獸,Water,Psychic,315,90,65,65,40,40,15,1
80,呆殼獸Mega,Water,Psychic,590,95,75,180,130,80,30,1
80,呆殼獸,Water,Psychic,490,95,75,110,100,80,30,1
81,小磁怪,Electric,Steel,325,25,35,70,95,55,45,1
82,三合一磁怪,Electric,Steel,465,50,60,95,120,70,70,1
83,大蔥鴨,Normal,Flying,352,52,65,55,58,62,60,1
84,嘟嘟,Normal,Flying,310,35,85,45,35,35,75,1
85,嘟嘟利,Normal,Flying,460,60,110,,60,60,100,1
86,小海獅,Water,,325,65,45,55,45,70,45,1
87,白海獅,Water,Ice,475,90,70,80,70,95,70,1
88,臭泥,Poison,,325,80,80,50,40,50,25,1
89,臭臭泥,Poison,,500,105,105,75,65,100,50,1
90,大舌貝,Water,,305,30,65,100,45,25,40,1
91,刺甲貝,Water,Ice,525,50,95,180,85,45,70,1
92,鬼斯,Ghost,Poison,310,30,,30,100,35,80,1
93,鬼斯通,Ghost,Poison,405,45,50,45,115,55,95,1
94,耿鬼Mega,Ghost,Poison,600,60,65,80,170,95,130,1
94,耿鬼,Ghost,Poison,500,60,65,60,130,75,110,1
95,大岩蛇,Rock,Ground,385,35,45,160,30,45,70,1
96,催眠貘,Psychic,,328,60,48,45,43,90,42,1
97,引夢貘人,Psychic,,483,85,73,70,73,115,67,1
98,大鉗蟹,Water,,325,30,105,90,25,25,50,1
99,巨鉗蟹,Water,,475,55,130,115,50,50,75,1
100,霹靂電球,Electric,,330,40,30,50,55,55,100,1
101,頑皮雷彈,Electric,,480,60,50,70,80,80,140,1
102,蛋蛋,Grass,Psychic,325,60,40,80,60,45,40,1
103,椰蛋樹,Grass,Psychic,520,95,95,85,125,65,55,1
104,卡拉卡拉,Ground,,320,50,50,95,40,50,35,1
105,嘎啦嘎啦,Ground,,425,60,80,110,50,80,45,1
106,飛腿郎,Fighting,,455,50,120,53,35,110,87,1
107,快拳郎,Fighting,,455,50,105,79,35,110,76,1
108,大舌頭,Normal,,385,90,55,75,60,75,30,1
109,瓦斯彈,Poison,,340,40,65,95,60,45,35,1
110,雙彈瓦斯,Poison,,490,65,90,120,85,70,60,1
111,獨角犀牛,Ground,Rock,345,80,85,95,30,30,25,1
112,鑽角犀獸,Ground,Rock,485,105,130,120,45,45,40,1
113,吉利蛋,Normal,,450,250,5,5,35,105,50,1
114,蔓藤怪,Grass,,435,65,55,115,100,40,60,1
115,袋獸Mega,Normal,,590,105,125,,60,100,100,1
115,袋獸,Normal,,490,105,95,80,40,80,90,1
116,墨海馬,Water,,295,30,40,70,70,25,60,1
117,海刺龍,Water,,440,55,65,95,95,45,85,1
118,角金魚,Water,,320,45,67,60,35,50,63,1
119,金魚王,Water,,450,80,92,65,65,80,68,1
120,海星星,Water,,340,30,45,55,70,55,85,1
121,寶石海星,Water,Psychic,520,60,75,85,100,85,115,1
122,魔牆人偶,Psychic,Fairy,460,40,45,65,100,120,90,1
123,飛天螳螂,Bug,Flying,500,70,110,80,55,80,105,1
124,迷唇姐,Ice,Psychic,455,65,50,35,115,95,95,1
125,電擊獸,Electric,,490,65,83,57,95,85,105,1
126,鴨嘴火獸,Fire,,495,65,95,57,100,85,93,1
127,凱羅斯Mega,Bug,Flying,600,65,155,120,65,90,105,1
127,凱羅斯,Bug,,500,65,125,100,55,70,85,1
128,肯泰羅,Normal,,490,75,100,95,40,70,110,1
129,鯉魚王,Water,,200,20,10,55,15,20,80,1
130,暴鯉龍Mega,Water,Dark,640,95,155,109,70,130,81,1
130,暴鯉龍,Water,Flying,540,95,125,79,60,100,81,1
131,拉普拉斯,Water,Ice,535,130,85,80,85,95,60,1
132,百變怪,Normal,,288,48,48,48,48,48,48,1
133,伊布,Normal,,325,55,55,50,45,65,55,1
134,水伊布,Water,,525,130,65,60,110,95,65,1
135,雷伊布,Electric,,525,65,65,60,110,95,130,1
136,火伊布,Fire,,525,65,130,60,95,110,65,1
137,多邊獸,Normal,,395,65,60,70,85,75,40,1
138,菊石獸,Rock,Water,355,35,40,100,90,55,35,1
139,多刺菊石獸,Rock,Water,495,70,60,125,115,70,55,1
140,化石盔,Rock,Water,355,30,80,90,55,45,55,1
141,鐮刀盔,Rock,Water,495,60,115,105,65,70,80,1
142,化石翼龍Mega,Rock,Flying,615,80,135,85,70,95,150,1
142,化石翼龍,Rock,Flying,515,80,105,65,60,75,130,1
143,卡比獸,Normal,,540,160,,65,65,110,30,1
144,急凍鳥,Ice,Flying,580,90,85,100,95,125,85,1
145,閃電鳥,Electric,Flying,580,90,90,85,125,90,100,1
146,火焰鳥,Fire,Flying,580,90,100,90,125,85,90,1
147,迷你龍,Dragon,,300,41,64,45,50,50,50,1
148,哈克龍,Dragon,,420,61,84,65,70,70,70,1
149,快龍,Dragon,Flying,600,91,134,95,100,100,80,1
150,超夢MegaX,Psychic,Fighting,780,106,190,100,154,100,130,1
150,超夢MegaY,Psychic,,780,106,150,70,194,120,140,1
150,超夢,Psychic,,680,106,110,90,154,90,130,1
151,夢幻,Psychic,,600,100,100,100,100,100,100,1
152,菊草葉,Grass,,318,45,49,65,49,65,45,2
153,月桂葉,Grass,,405,60,62,80,63,80,60,2
154,大竺葵,Grass,,525,80,82,100,83,100,80,2
155,火球鼠,Fire,,309,39,52,43,60,50,65,2
156,火岩鼠,Fire,,405,58,64,58,80,65,80,2
157,火爆獸,Fire,,534,78,84,78,109,85,100,2
158,小鋸鱷,Water,,314,50,65,64,44,48,43,2
159,藍鱷,Water,,405,65,80,80,59,63,58,2
160,大力鱷,Water,,530,85,105,100,79,83,78,2
161,尾立,Normal,,215,35,46,34,35,45,20,2
162,大尾立,Normal,,415,85,76,64,45,55,90,2
163,咕咕,Normal,Flying,262,60,30,30,36,56,50,2
164,貓頭夜鷹,Normal,Flying,442,100,50,50,76,96,70,2
165,芭瓢蟲,Bug,Flying,265,40,20,30,40,80,55,2
166,安瓢蟲,Bug,Flying,390,55,35,50,55,110,85,2
167,圓絲蛛,Bug,Poison,250,40,60,40,40,40,30,2
168,阿利多斯,Bug,Poison,390,70,90,70,60,60,40,2
169,叉字蝠,Poison,Flying,535,85,90,80,70,80,130,2
170,燈籠魚,Water,Electric,330,75,38,38,56,56,67,2
171,電燈怪,Water,Electric,460,125,58,58,76,76,67,2
172,皮丘,Electric,,205,20,40,15,35,35,60,2
173,皮寶寶,Fairy,,218,50,25,28,45,55,15,2
174,寶寶丁,Normal,Fairy,210,90,30,15,40,20,15,2
175,波克比,Fairy,,245,35,20,65,40,65,20,2
176,波克基古,Fairy,Flying,405,55,40,85,80,105,40,2
177,天然雀,Psychic,Flying,320,40,50,45,70,45,70,2
178,天然鳥,Psychic,Flying,470,65,75,70,95,70,95,2
179,咩利羊,Electric,,280,55,40,40,65,45,35,2
180,茸茸羊,Electric,,365,70,55,55,80,60,45,2
181,電龍Mega,Electric,Dragon,610,90,95,105,165,110,45,2
181,電龍,Electric,,510,90,75,85,115,90,55,2
182,美麗花,Grass,,490,75,80,95,90,100,50,2
183,瑪力露,Water,Fairy,250,70,20,50,20,50,40,2
184,瑪力露麗,Water,Fairy,420,100,50,80,60,80,50,2
185,樹才怪,Rock,,410,70,100,115,30,65,30,2
186,蚊香蛙皇,Water,,500,90,75,75,90,100,70,2
187,毽子草,Grass,Flying,250,35,35,40,35,55,50,2
188,毽子花,Grass,Flying,340,55,45,50,45,65,80,2
189,毽子棉,Grass,Flying,460,75,55,70,55,95,110,2
190,長尾怪手,Normal,,360,55,70,55,40,55,85,2
191,向日種子,Grass,,180,30,30,30,30,30,30,2
192,向日花怪,Grass,,425,75,75,55,105,85,30,2
193,蜻蜻蜓,Bug,Flying,390,65,65,45,75,45,95,2
194,烏波,Water,Ground,210,55,45,45,25,25,15,2
195,沼王,Water,Ground,430,95,85,85,65,65,35,2
196,太陽伊布,Psychic,,525,65,65,60,130,95,110,2
197,月亮伊布,Dark,,525,95,65,110,60,130,65,2
198,黑暗鴉,Dark,Flying,405,60,85,42,85,42,91,2
199,呆呆王,Water,Psychic,490,95,75,80,100,110,30,2
200,夢妖,Ghost,,435,60,60,,85,85,85,2
201,未知圖騰,Psychic,,336,48,72,48,72,48,48,2
202,果然翁,Psychic,,405,190,33,58,33,58,33,2
203,麒麟奇,Normal,Psychic,455,70,80,65,90,65,85,2
204,榛果球,Bug,,290,50,65,90,35,35,15,2
205,佛烈托斯,Bug,Steel,465,75,90,140,60,60,40,2
206,土龍弟弟,Normal,,415,100,70,70,65,65,45,2
207,天蠍,Ground,Flying,430,65,75,105,35,65,85,2
208,大鋼蛇Mega,Steel,Ground,610,75,125,230,55,95,30,2
208,大鋼蛇,Steel,Ground,510,75,85,200,55,65,30,2
209,布魯,Fairy,,300,60,80,50,40,40,30,2
210,布魯皇,Fairy,,450,90,120,75,60,60,45,2
211,千針魚,Water,Poison,430,65,95,75,55,55,85,2
212,巨鉗螳螂Mega,Bug,Steel,600,70,150,140,65,100,75,2
212,巨鉗螳螂,Bug,Steel,500,70,130,100,55,80,65,2
213,壺壺,Bug,Rock,505,20,10,230,10,230,5,2
214,赫拉克羅斯Mega,Bug,Fighting,600,80,185,115,40,105,75,2
214,赫拉克羅斯,Bug,Fighting,500,80,125,75,40,95,85,2
215,狃拉,Dark,Ice,430,55,95,55,35,75,115,2
216,熊寶寶,Normal,,330,60,80,50,50,50,40,2
217,圈圈熊,Normal,,500,90,130,,75,75,55,2
218,熔岩蟲,Fire,,250,40,40,40,70,40,20,2
219,熔岩蝸牛,Fire,Rock,410,50,50,120,80,80,30,2
220,小山豬,Ice,Ground,250,50,50,40,30,30,50,2
221,長毛豬,Ice,Ground,450,100,100,80,60,60,50,2
222,太陽珊瑚,Water,Rock,380,55,55,85,65,85,35,2
223,鐵炮魚,Water,,300,35,65,35,65,35,65,2
224,章魚桶,Water,,480,75,105,75,105,75,45,2
225,信使鳥,Ice,Flying,330,45,55,45,65,45,75,2
226,巨翅飛魚,Water,Flying,465,65,40,70,80,140,70,2
227,盔甲鳥,Steel,Flying,465,65,80,140,40,70,70,2
228,戴魯比,Dark,Fire,330,45,60,30,80,50,65,2
229,黑魯加Mega,Dark,Fire,600,75,90,90,140,90,115,2
229,黑魯加,Dark,Fire,500,75,90,50,110,80,95,2
230,刺龍王,Water,Dragon,540,75,95,95,95,95,85,2
231,小小象,Ground,,330,90,60,60,40,40,40,2
232,頓甲,Ground,,500,90,120,120,60,60,50,2
233,多邊獸Ⅱ,Normal,,515,85,80,90,105,95,60,2
234,驚角鹿,Normal,,465,73,95,62,85,65,85,2
235,圖圖犬,Normal,,250,55,20,35,20,45,75,2
236,無畏小子,Fighting,,210,35,,35,35,35,35,2
237,戰舞郎,Fighting,,455,50,95,95,35,110,70,2
238,迷唇娃,Ice,Psychic,305,45,30,15,85,65,65,2
239,電擊怪,Electric,,360,45,63,37,65,55,95,2
240,鴨嘴寶寶,Fire,,365,45,75,37,70,55,83,2
241,大奶罐,Normal,,490,95,80,105,40,70,100,2
242,幸福蛋,Normal,,540,255,10,10,75,135,55,2
243,雷公,Electric,,580,90,85,75,115,100,115,2
244,炎帝,Fire,,580,115,115,85,90,75,100,2
245,水君,Water,,580,100,75,115,90,115,85,2
246,幼基拉斯,Rock,Ground,300,50,64,50,45,50,41,2
247,沙基拉斯,Rock,Ground,410,70,84,70,65,70,51,2
248,班基拉斯Mega,Rock,Dark,700,100,164,150,95,120,71,2
248,班基拉斯,Rock,Dark,600,100,134,110,95,100,61,2
249,洛奇亞,Psychic,Flying,680,106,90,130,90,154,110,2
250,鳳王,Fire,Flying,680,106,130,90,110,154,90,2
251,時拉比,Psychic,Grass,600,100,100,100,100,100,100,2
252,木守宮,Grass,,310,40,45,35,65,55,70,3
253,森林蜥蜴,Grass,,405,50,65,45,85,65,95,3
254,蜥蜴王Mega,Grass,Dragon,630,70,110,75,145,85,145,3
254,蜥蜴王,Grass,,530,70,85,65,105,85,120,3
255,火稚雞,Fire,,310,45,60,40,70,50,45,3
256,力壯雞,Fire,Fighting,405,60,85,60,85,60,55,3
257,火焰雞Mega,Fire,Fighting,630,80,160,80,130,80,100,3
257,火焰雞,Fire,Fighting,530,80,120,70,110,70,80,3
258,水躍魚,Water,,310,50,70,50,50,50,40,3
259,沼躍魚,Water,Ground,405,70,85,70,60,70,50,3
260,巨沼怪Mega,Water,Ground,635,100,150,110,95,110,70,3
260,巨沼怪,Water,Ground,535,100,110,90,85,90,60,3
261,土狼犬,Dark,,220,35,55,35,30,30,35,3
262,大狼犬,Dark,,420,70,90,70,60,60,70,3
263,蛇紋熊,Normal,,240,38,30,41,30,41,60,3
264,直衝熊,Normal,,420,78,70,61,50,61,100,3
265,刺尾蟲,Bug,,195,45,45,35,20,30,20,3
266,甲殼繭,Bug,,205,50,35,55,25,25,15,3
267,狩獵鳳蝶,Bug,Flying,395,60,70,50,100,50,65,3
268,盾甲繭,Bug,,205,50,35,55,25,25,15,3
269,毒粉蛾,Bug,Poison,385,60,50,70,50,90,65,3
270,蓮葉童子,Water,Grass,220,40,30,30,40,50,30,3
271,蓮帽小童,Water,Grass,340,60,50,50,60,70,50,3
272,樂天河童,Water,Grass,480,80,70,70,90,100,70,3
273,橡實果,Grass,,220,40,40,50,30,30,30,3
274,長鼻葉,Grass,Dark,340,70,70,40,60,40,60,3
275,狡猾天狗,Grass,Dark,480,90,100,60,90,60,80,3
276,傲骨燕,Normal,Flying,270,40,55,30,30,30,85,3
277,大王燕,Normal,Flying,430,60,85,60,50,50,125,3
278,長翅鷗,Water,Flying,270,40,30,30,55,30,85,3
279,大嘴鷗,Water,Flying,430,60,50,100,85,70,65,3
280,拉魯拉絲,Psychic,Fairy,198,28,25,25,45,35,40,3
281,奇魯莉安,Psychic,Fairy,278,38,35,35,65,55,50,3
282,沙奈朵Mega,Psychic,Fairy,618,68,85,65,165,135,100,3
282,沙奈朵,Psychic,Fairy,518,68,65,65,125,115,80,3
283,溜溜糖球,Bug,Water,269,40,30,32,50,52,65,3
284,雨翅蛾,Bug,Flying,414,70,60,62,80,82,60,3
285,蘑蘑菇,Grass,,295,60,40,60,40,60,35,3
286,斗笠菇,Grass,Fighting,460,60,130,80,60,60,70,3
287,懶人獺,Normal,,280,60,60,60,35,35,30,3
288,過動猿,Normal,,440,80,80,80,55,55,90,3
289,請假王,Normal,,670,150,,100,95,65,100,3
290,土居忍士,Bug,Ground,266,31,45,90,30,30,40,3
291,鐵面忍者,Bug,Flying,456,61,90,45,50,50,160,3
292,脫殼忍者,Bug,Ghost,236,1,90,45,30,30,40,3
293,咕妞妞,Normal,,240,64,51,23,51,23,28,3
294,吼爆彈,Normal,,360,84,71,43,71,43,48,3
295,爆音怪,Normal,,490,104,91,63,91,73,68,3
296,幕下力士,Fighting,,237,72,60,,20,30,25,3
297,鐵掌力士,Fighting,,474,144,120,60,40,60,50,3
298,露力麗,Normal,Fairy,190,50,20,40,20,40,20,3
299,朝北鼻,Rock,,375,30,45,135,45,90,30,3
300,向尾喵,Normal,,260,50,45,45,35,35,50,3
301,優雅貓,Normal,,380,70,65,65,55,55,70,3
302,勾魂眼Mega,Dark,Ghost,480,50,85,125,85,115,20,3
302,勾魂眼,Dark,Ghost,380,50,75,75,65,65,50,3
303,大嘴娃Mega,Steel,Fairy,480,50,105,125,55,95,50,3
303,大嘴娃,Steel,Fairy,380,50,85,85,55,55,50,3
304,可可多拉,Steel,Rock,330,50,70,100,40,40,30,3
305,可多拉,Steel,Rock,430,60,90,140,50,50,40,3
306,波士可多拉Mega,Steel,,630,70,140,230,60,80,50,3
306,波士可多拉,Steel,Rock,530,70,110,180,60,60,50,3
307,瑪沙那,Fighting,Psychic,280,30,,55,40,55,60,3
308,恰雷姆Mega,Fighting,Psychic,510,60,100,85,80,85,100,3
308,恰雷姆,Fighting,Psychic,410,60,60,75,60,75,80,3
309,落雷獸,Electric,,295,40,45,40,65,40,65,3
310,雷電獸Mega,Electric,,575,70,75,80,135,80,135,3
310,雷電獸,Electric,,475,70,75,60,105,60,105,3
311,正電拍拍,Electric,,405,60,50,40,85,75,95,3
312,負電拍拍,Electric,,405,60,40,50,75,85,95,3
313,電螢蟲,Bug,,400,65,73,55,47,75,85,3
314,甜甜螢,Bug,,400,65,47,55,73,75,85,3
315,毒薔薇,Grass,Poison,400,50,60,45,100,80,65,3
316,溶食獸,Poison,,302,70,43,53,43,53,40,3
317,吞食獸,Poison,,467,100,73,83,73,83,55,3
318,利牙魚,Water,Dark,305,45,90,20,65,20,65,3
319,巨牙鯊Mega,Water,Dark,560,70,140,70,110,65,105,3
319,巨牙鯊,Water,Dark,460,70,120,40,95,40,95,3
320,吼吼鯨,Water,,400,130,70,35,70,35,60,3
321,吼鯨王,Water,,500,170,90,45,90,45,60,3
322,呆火駝,Fire,Ground,305,60,60,40,65,45,35,3
323,噴火駝Mega,Fire,Ground,560,70,120,100,145,105,20,3
323,噴火駝,Fire,Ground,460,70,100,70,105,75,40,3
324,煤炭龜,Fire,,470,70,85,140,85,70,20,3
325,跳跳豬,Psychic,,330,60,25,35,70,80,60,3
326,噗噗豬,Psychic,,470,80,45,65,90,110,80,3
327,晃晃斑,Normal,,360,60,60,60,60,60,60,3
328,大顎蟻,Ground,,290,45,100,45,45,45,10,3
329,超音波幼蟲,Ground,Dragon,340,50,70,50,50,50,70,3
330,沙漠蜻蜓,Ground,Dragon,520,80,100,80,80,80,100,3
331,刺球仙人掌,Grass,,335,50,85,40,85,40,35,3
332,夢歌仙人掌,Grass,Dark,475,70,115,60,115,60,55,3
333,青綿鳥,Normal,Flying,310,45,40,60,40,75,50,3
334,七夕青鳥Mega,Dragon,Fairy,590,75,110,110,110,105,80,3
334,七夕青鳥,Dragon,Flying,490,75,70,90,70,105,80,3
335,貓鼬斬,Normal,,458,73,115,,60,60,90,3
336,飯匙蛇,Poison,,458,73,100,60,100,60,65,3
337,月石,Rock,Psychic,440,70,55,65,95,85,70,3
338,太陽岩,Rock,Psychic,440,70,95,85,55,65,70,3
339,泥泥鰍,Water,Ground,288,50,48,43,46,41,60,3
340,鯰魚王,Water,Ground,468,110,78,73,76,71,60,3
341,龍蝦小兵,Water,,308,43,80,65,50,35,35,3
342,鐵螯龍蝦,Water,Dark,468,63,120,85,90,55,55,3
343,天秤偶,Ground,Psychic,300,40,40,55,40,70,55,3
344,念力土偶,Ground,Psychic,500,60,70,105,70,120,75,3
345,觸手百合,Rock,Grass,355,66,41,77,61,87,23,3
346,搖籃百合,Rock,Grass,495,86,81,97,81,107,43,3
347,太古羽蟲,Rock,Bug,355,45,95,50,40,50,75,3
348,太古盔甲,Rock,Bug,495,75,125,100,70,80,45,3
349,醜醜魚,Water,,200,20,15,20,10,55,80,3
350,美納斯,Water,,540,95,60,79,100,125,81,3
351,飄浮泡泡,Normal,,420,70,70,70,70,70,70,3
352,變隱龍,Normal,,440,60,90,70,60,120,40,3
353,怨影娃娃,Ghost,,295,44,75,35,63,33,45,3
354,詛咒娃娃,Ghost,,455,64,115,65,83,63,65,3
354,詛咒娃娃Mega,Ghost,,555,64,,75,93,83,75,3
355,夜巡靈,Ghost,,295,20,40,90,30,90,25,3
356,彷徨夜靈,Ghost,,455,40,70,130,60,130,25,3
357,熱帶龍,Grass,Flying,460,99,68,83,72,87,51,3
358,風鈴鈴,Psychic,,425,65,50,70,95,80,65,3
359,阿勃梭魯Mega,Dark,,565,65,150,60,115,60,115,3
359,阿勃梭魯,Dark,,465,65,130,60,75,60,75,3
360,小果然,Psychic,,260,95,23,48,23,48,23,3
361,雪童子,Ice,,300,50,50,50,50,50,50,3
362,冰鬼護Mega,Ice,,580,80,120,80,120,80,100,3
362,冰鬼護,Ice,,480,80,80,80,80,80,80,3
363,海豹球,Ice,Water,290,70,40,50,55,50,25,3
364,海魔獅,Ice,Water,410,90,60,70,75,70,45,3
365,帝牙海獅,Ice,Water,530,110,80,90,95,90,65,3
366,珍珠貝,Water,,345,35,64,85,74,55,32,3
367,獵斑魚,Water,,485,55,104,105,94,75,52,3
368,櫻花魚,Water,,485,55,84,105,114,75,52,3
369,古空棘魚,Water,Rock,485,100,90,130,45,65,55,3
370,愛心魚,Water,,330,43,30,55,40,65,97,3
371,寶貝龍,Dragon,,300,45,75,60,40,30,50,3
372,甲殼龍,Dragon,,420,65,95,100,60,50,50,3
373,暴飛龍Mega,Dragon,Flying,700,95,145,130,120,90,120,3
373,暴飛龍,Dragon,Flying,600,95,135,80,110,80,100,3
374,鐵啞鈴,Steel,Psychic,300,40,55,80,35,60,30,3
375,金屬怪,Steel,Psychic,420,60,75,100,55,80,50,3
376,巨金怪Mega,Steel,Psychic,700,80,145,150,105,110,110,3
376,巨金怪,Steel,Psychic,600,80,135,130,95,90,70,3
377,雷吉洛克,Rock,,580,80,100,200,50,100,50,3
378,雷吉艾斯,Ice,,580,80,50,100,100,200,50,3
379,雷吉斯奇魯,Steel,,580,80,75,150,75,150,50,3
380,拉帝亞斯Mega,Dragon,Psychic,700,80,100,120,140,150,110,3
380,拉帝亞斯,Dragon,Psychic,600,80,80,90,110,130,110,3
381,拉帝歐斯Mega,Dragon,Psychic,700,80,130,100,160,120,110,3
381,拉帝歐斯,Dragon,Psychic,600,80,90,80,130,110,110,3
382,蓋歐卡Mega,Water,,770,100,150,90,180,160,90,3
382,蓋歐卡,Water,,670,100,100,90,150,140,90,3
383,固拉多Mega,Ground,Fire,770,100,180,160,150,90,90,3
383,固拉多,Ground,,670,100,150,140,100,90,90,3
384,烈空坐Mega,Dragon,Flying,780,105,180,100,180,100,115,3
384,烈空坐,Dragon,Flying,680,105,150,90,150,90,95,3
385,基拉祈,Steel,Psychic,600,100,100,100,100,100,100,3
386,代歐奇希斯(攻擊),Psychic,,600,50,180,20,180,20,150,3
386,代歐奇希斯(正常),Psychic,,600,50,150,50,150,50,150,3
386,代歐奇希斯(速度),Psychic,,600,50,95,90,95,90,180,3
386,代歐奇希斯(防禦),Psychic,,600,50,70,160,70,160,90,3
387,草苗龜,Grass,,318,55,68,64,45,55,31,4
388,樹林龜,Grass,,405,75,89,85,55,65,36,4
389,土台龜,Grass,Ground,525,95,109,105,75,85,56,4
390,小火焰猴,Fire,,309,44,58,44,58,44,61,4
391,猛火猴,Fire,Fighting,405,64,78,52,78,52,81,4
392,烈焰猴,Fire,Fighting,534,76,104,71,104,71,108,4
393,波加曼,Water,,314,53,51,53,61,56,40,4
394,波皇子,Water,,405,64,66,68,81,76,50,4
